"Season"	"Date"	"SurveyID"	"active"
"FA"	2010-10-12	"D02-HUP1-FA10"	NA
"FA"	2010-10-13	"D02-HUP1-FA10"	1
"FA"	2010-10-14	"D02-HUP1-FA10"	1
"FA"	2010-10-15	"D02-HUP1-FA10"	1
"FA"	2010-10-16	"D02-HUP1-FA10"	1
"FA"	2010-10-17	"D02-HUP1-FA10"	1
"FA"	2010-10-18	"D02-HUP1-FA10"	1
"FA"	2010-10-19	"D02-HUP1-FA10"	1
"FA"	2010-10-20	"D02-HUP1-FA10"	1
"FA"	2010-10-21	"D02-HUP1-FA10"	1
"FA"	2010-10-22	"D02-HUP1-FA10"	1
"FA"	2010-10-23	"D02-HUP1-FA10"	1
"FA"	2010-10-24	"D02-HUP1-FA10"	1
"FA"	2010-10-25	"D02-HUP1-FA10"	1
"FA"	2010-10-26	"D02-HUP1-FA10"	1
"FA"	2010-10-27	"D02-HUP1-FA10"	1
"FA"	2010-10-28	"D02-HUP1-FA10"	1
"FA"	2010-10-29	"D02-HUP1-FA10"	1
"FA"	2010-10-30	"D02-HUP1-FA10"	1
"FA"	2010-10-31	"D02-HUP1-FA10"	1
"FA"	2010-11-01	"D02-HUP1-FA10"	1
"FA"	2010-11-02	"D02-HUP1-FA10"	1
"FA"	2010-11-03	"D02-HUP1-FA10"	1
"FA"	2010-11-04	"D02-HUP1-FA10"	1
"FA"	2010-11-05	"D02-HUP1-FA10"	1
"FA"	2010-11-06	"D02-HUP1-FA10"	1
"FA"	2010-11-07	"D02-HUP1-FA10"	1
"FA"	2010-11-08	"D02-HUP1-FA10"	1
"FA"	2011-10-04	"D02-HUP1-FA11"	NA
"FA"	2011-10-05	"D02-HUP1-FA11"	NA
"FA"	2011-10-06	"D02-HUP1-FA11"	NA
"FA"	2011-10-07	"D02-HUP1-FA11"	1
"FA"	2011-10-08	"D02-HUP1-FA11"	1
"FA"	2011-10-09	"D02-HUP1-FA11"	1
"FA"	2011-10-10	"D02-HUP1-FA11"	1
"FA"	2011-10-11	"D02-HUP1-FA11"	1
"FA"	2011-10-12	"D02-HUP1-FA11"	1
"FA"	2011-10-13	"D02-HUP1-FA11"	1
"FA"	2011-10-14	"D02-HUP1-FA11"	1
"FA"	2011-10-15	"D02-HUP1-FA11"	1
"FA"	2011-10-16	"D02-HUP1-FA11"	1
"FA"	2011-10-17	"D02-HUP1-FA11"	1
"FA"	2011-10-18	"D02-HUP1-FA11"	1
"FA"	2011-10-19	"D02-HUP1-FA11"	1
"FA"	2011-10-20	"D02-HUP1-FA11"	1
